,Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
23,Flexa,Protocols,AMP,Ethereum,+6.19%,+8.99%,+0.10%,$1.28b,1280000000.0,2021-04-30 23:59:00.921556
24,Alchemix,Yield,ALCX,Ethereum,+3.67%,-1.55%,-0.06%,$1.19b,1190000000.0,2021-04-30 23:59:00.921556
25,Badger DAO,Yield,BADGER,Ethereum,-2.06%,-0.69%,-0.35%,$990.04m,990040000.0,2021-04-30 23:59:00.921556
26,ValueDefi,Yield,VALUE,Multi-Chain,+2.64%,+4.16%,+0.19%,$927.88m,927880000.0,2021-04-30 23:59:00.921556
27,DefiSaver,Protocols,-,Ethereum,+1.33%,+18.39%,-0.49%,$921.87m,921870000.0,2021-04-30 23:59:00.921556
28,Alpha Finance,Yield,ALPHA,Multi-Chain,-6.68%,-3.61%,+0.54%,$917.55m,917550000.0,2021-04-30 23:59:00.921556
29,RenVM,Assets,REN,Multi-Chain,+8.52%,+7.66%,-0.50%,$845.18m,845180000.0,2021-04-30 23:59:00.921556
30,Raydium,Dexes,RAY,Solana,+8.05%,+87.39%,-0.32%,$799.66m,799660000.0,2021-04-30 23:59:00.921556
31,Anchor,Lending,-,Terra,+10.27%,+32.06%,-0.16%,$767.54m,767540000.0,2021-04-30 23:59:00.921556
32,Stacks,Protocols,STX,Stacks,+2.86%,+2.74%,0%,$748.62m,748620000.0,2021-04-30 23:59:00.921556
33,bZx,Lending,BZRX,Ethereum,+4.67%,-1.66%,-0.07%,$626.98m,626980000.0,2021-04-30 23:59:00.921556
34,Thorchain,Dexes,RUNE,Binance,+8.66%,+15.13%,-0.78%,$598.07m,598070000.0,2021-04-30 23:59:00.921556
35,Fantom,Protocols,FTM,Multi-Chain,+25.77%,+110%,-2.19%,$573.96m,573960000.0,2021-04-30 23:59:00.921556
36,Nerve,Dexes,NRV,Binance,+0.81%,-,-0.53%,$566.8m,566800000.0,2021-04-30 23:59:00.921556
37,Harvest Finance,Yield,FARM,Ethereum,-1.13%,-1.79%,-0.17%,$529.23m,529230000.0,2021-04-30 23:59:00.921556
38,KeeperDAO,Yield,ROOK,Ethereum,+2.06%,+7.48%,-0.36%,$484.18m,484180000.0,2021-04-30 23:59:00.921556
39,Tornado Cash,Protocols,-,Ethereum,+2.64%,+26.19%,-0.54%,$464.57m,464570000.0,2021-04-30 23:59:00.921556
40,Integral,Dexes,-,Ethereum,-5.02%,-9.20%,-0.08%,$459m,459000000.0,2021-04-30 23:59:00.921556
41,Nexus Mutual,Insurance,NXM,Ethereum,+1.42%,+17.23%,-0.55%,$446.78m,446780000.0,2021-04-30 23:59:00.921556
42,Fei Protocol,Assets,FEI,Ethereum,+0.02%,-61.80%,-0.24%,$417.84m,417840000.0,2021-04-30 23:59:00.921556
43,Serum,Dexes,SRM,Solana,-4.06%,+7.34%,+6.02%,$409.82m,409820000.0,2021-04-30 23:59:00.921556
44,ACryptoS,Yield,ACS,Binance,+9.48%,+30.52%,0%,$402.59m,402590000.0,2021-04-30 23:59:00.921556
45,Unit Protocol,Protocols,DUCK,Ethereum,+7.75%,+36.36%,-0.84%,$386.45m,386450000.0,2021-04-30 23:59:00.921556
46,KEEP Network,Assets,KEEP,Ethereum,+2.16%,+16.90%,-0.55%,$368.08m,368080000.0,2021-04-30 23:59:00.921556
47,1inch,Dexes,1INCH,Ethereum,+2.33%,+22.23%,+0.20%,$331.58m,331580000.0,2021-04-30 23:59:00.921556
48,Wing Finance,Lending,WING,Ontology,+3.33%,+10.41%,+0.15%,$330.17m,330170000.0,2021-04-30 23:59:00.921556
49,DefiChain,Protocols,DFI,DefiChain,+7.54%,+18.34%,+0.04%,$325.99m,325990000.0,2021-04-30 23:59:00.921556
50,Kava,Lending,KAVA,Multi-Chain,+5.81%,+19.20%,-0.34%,$320.41m,320410000.0,2021-04-30 23:59:00.921556
51,CREAM Finance,Lending,CREAM,Ethereum,-0.01%,+10.22%,-0.62%,$316.25m,316250000.0,2021-04-30 23:59:00.921556
52,Reflexer,Assets,RAI,Ethereum,+1.07%,+16.71%,-0.10%,$312.75m,312750000.0,2021-04-30 23:59:00.921556
53,Set Protocol,Indexes,-,Ethereum,+4.53%,+22.01%,-0.17%,$271.25m,271250000.0,2021-04-30 23:59:00.921556
54,Pangolin,Dexes,PNG,Avalanche,+17.60%,+45.92%,+0.56%,$265.32m,265320000.0,2021-04-30 23:59:00.921556
